"UserID","SystemAgeAsOfReg","Gender","CountryID"
11,32,"M",276
14,39,"M",276
22,21,"M",56
37,25,"M",276
38,60,"F",276
42,45,"M",276
70,40,"M",484
73,25,"M",40
87,30,"M",484
124,53,"M",276
125,25,"M",703
145,26,"M",276
148,27,"M",703
154,25,"M",276
159,19,"M",276
167,24,"M",826
194,18,"M",250
199,41,"M",250
208,21,"M",250
227,35,"M",724
239,38,"M",724
279,34,"M",250
281,27,"M",528
284,23,"M",276
292,21,"M",788
374,32,"M",756
385,21,"F",276
429,28,"M",276
430,27,"M",724
463,23,"M",276
465,22,"M",250
469,35,"M",276
475,33,"M",276
488,27,"M",348
502,27,"M",250
506,20,"M",203
536,39,"M",826
540,26,"M",250
543,20,"M",276
545,24,"F",276
554,46,"M",250
557,44,"M",756
567,48,"M",458
590,41,"M",724
596,29,"M",276
598,51,"F",276
603,23,"M",40
612,52,"M",40
622,26,"M",250
628,27,"M",56
642,25,"M",250
645,29,"M",276
646,24,"M",40
671,20,"M",203
687,32,"M",528
701,21,"M",250
702,37,"M",250
715,25,"M",250
722,18,"M",724
735,27,"M",250
750,32,"M",250
755,26,"M",276
760,25,"F",40
766,30,"M",643
781,47,"F",458
801,48,"F",250
803,23,"M",504
817,28,"M",250
826,23,"M",250
831,33,"M",250
833,56,"M",616
850,19,"M",276
862,32,"M",56
866,20,"M",788
872,29,"M",276
876,27,"M",276
900,18,"M",276
903,37,"M",250
927,47,"M",276
953,24,"M",826
972,33,"M",528
976,29,"M",826
985,18,"M",724
986,25,"M",756
999,34,"M",276
1000,22,"M",250
1023,26,"M",250
1027,18,"M",276
1031,26,"M",276
1054,22,"M",203
1078,39,"M",250
1089,38,"M",788
1090,19,"M",276
1111,50,"M",203
1113,18,"M",250
1118,27,"M",276
1137,19,"M",826
1143,30,"M",56
1181,24,"F",458
1183,26,"M",276
1188,26,"F",250
1205,27,"M",788
1211,32,"F",276
1238,31,"M",250
1249,24,"M",250
1253,32,"M",250
1261,22,"M",250
1273,23,"M",203
1274,30,"M",276
1279,22,"M",276
1280,21,"M",756
1287,18,"M",528
1295,33,"M",250
1316,21,"M",756
1322,20,"M",31
1327,18,"M",528
1342,22,"M",756
1344,28,"M",276
1355,25,"M",250
1398,27,"F",250
1412,23,"M",276
1425,28,"M",724
1460,29,"M",276
1479,29,"M",250
1485,16,"M",788
1486,26,"F",276
1493,19,"M",348
1494,21,"M",276
1495,21,"M",724
1504,27,"F",203
1530,46,"F",276
1575,46,"M",484
1580,29,"M",788
1591,24,"F",826
1599,23,"M",276
1622,22,"M",250
1636,27,"M",250
1640,26,"M",276
1652,30,"M",348
1672,24,"M",616
1690,28,"M",276
1691,25,"M",826
1704,25,"M",276
1750,35,"M",826
1774,41,"M",348
1785,28,"M",250
1793,22,"M",276
1796,30,"M",528
1801,19,"M",203
1824,35,"M",484
1825,29,"M",826
1851,27,"M",250
1860,24,"M",616
1862,21,"M",250
1876,25,"M",250
1878,37,"M",276
1884,24,"M",203
1901,38,"M",250
1910,29,"M",56
1912,28,"M",276
1937,19,"M",348
1941,22,"M",56
1959,19,"M",616
1968,24,"M",826
1973,20,"M",703
1976,20,"M",250
1986,51,"M",56
1994,31,"F",250
2004,19,"M",724
2012,36,"M",250
2015,21,"M",276
2022,27,"M",276
2029,24,"M",56
2044,28,"M",276
2045,23,"M",250
2059,21,"M",276
2070,20,"M",203
2089,25,"M",276
2090,27,"M",276
2092,29,"M",826
2097,35,"M",276
2107,27,"F",250
2112,32,"M",250
2118,24,"M",250
2121,29,"F",250
2144,23,"M",826
2152,24,"M",250
2153,38,"F",56
2162,31,"M",484
2170,27,"M",276
2174,36,"M",826
2186,26,"M",528
2204,26,"M",250
2215,26,"M",276
2235,39,"M",250
2287,26,"M",250
2299,37,"M",250
2310,18,"M",NA
2314,23,"M",276
2325,22,"M",276
2327,27,"M",276
2372,25,"M",528
2381,33,"M",276
2445,25,"M",276
2447,22,"M",40
2474,25,"M",56
2489,24,"F",276
2490,29,"M",826
2492,24,"M",56
2495,36,"M",616
2498,37,"M",724
2517,24,"M",56
2527,29,"M",348
2531,23,"M",250
2597,27,"M",276
2620,29,"M",724
2675,39,"M",643
2679,24,"M",826
2683,18,"M",276
2697,27,"M",724
2717,25,"M",203
2730,27,"M",250
2731,34,"M",70
2815,23,"M",250
2822,52,"F",276
2827,35,"M",56
2846,29,"M",826
2849,45,"F",203
2859,50,"M",56
2860,24,"M",276
2863,33,"M",724
2916,41,"M",20
2958,21,"M",250
2962,50,"M",616
2966,52,"M",250
2984,27,"M",724
2989,27,"F",643
2998,18,"M",276
3001,39,"M",276
3005,25,"M",276
3007,32,"M",250
3028,29,"M",250
3033,22,"M",276
3042,26,"M",40
3048,49,"M",276
3053,27,"M",276
3073,23,"F",276
3074,44,"F",724
3091,29,"M",724
3097,20,"M",276
3099,48,"M",56
3136,30,"M",250
3155,28,"M",203
3172,19,"M",276
3179,19,"M",276
3186,18,"M",276
3192,25,"M",56
3226,28,"M",56
3269,18,"M",276
3297,24,"M",352
3309,26,"M",756
3317,37,"M",250
3329,18,"M",826
3377,25,"M",348
3394,26,"M",276
3404,26,"M",724
3416,40,"M",276
3505,24,"M",724
3509,25,"M",203
3512,18,"M",31
3522,29,"M",276
3536,19,"M",348
3539,29,"M",724
3541,32,"M",643
3569,23,"M",276
3605,18,"M",40
3613,18,"M",250
3616,25,"M",250
3617,21,"M",276
3623,20,"M",703
3624,88,"F",250
3626,23,"M",250
3646,23,"M",724
3663,38,"M",724
3670,18,"M",528
3672,28,"M",826
3681,26,"M",250
3692,29,"M",56
3738,21,"M",756
3755,22,"M",276
3762,19,"M",40
3779,22,"M",276
3795,30,"M",348
3796,33,"M",276
3805,34,"M",276
3826,20,"M",203
3828,25,"M",70
3829,23,"M",276
3841,34,"M",276
3862,29,"M",250
3880,43,"M",724
3900,29,"M",250
3911,24,"M",250
3933,35,"M",724
3944,26,"M",124
3960,31,"M",276
3964,32,"M",276
3966,22,"M",788
3987,24,"M",788
3988,18,"M",276
3990,27,"M",724
4001,18,"M",703
4006,24,"M",250
4045,17,"M",276
4065,37,"M",276
4066,27,"F",250
4070,47,"M",826
4072,39,"M",203
4093,26,"M",276
4105,22,"M",203
4111,29,"M",276
4123,27,"M",250
4133,28,"M",203
4143,35,"F",724
4145,18,"F",250
4159,20,"M",724
4161,36,"M",250
4164,22,"M",250
4182,30,"M",756
4201,31,"M",616
4202,24,"M",703
4217,32,"M",56
4224,30,"M",NA
4227,25,"M",203
4229,27,"M",276
4233,19,"M",203
4234,23,"M",250
4250,30,"M",756
4260,36,"M",826
4262,25,"M",276
4290,27,"M",826
4315,30,"M",498
4316,37,"M",276
4325,22,"M",56
4328,25,"M",616
4337,43,"M",276
4350,25,"M",276
4351,31,"M",250
4355,45,"M",643
4357,27,"F",348
4358,33,"M",250
4368,20,"M",250
4370,28,"M",528
4382,20,"M",203
4389,18,"M",203
4396,25,"M",276
4399,20,"M",250
4416,54,"M",724
4417,26,"M",276
4423,25,"M",40
4438,27,"M",250
4445,31,"M",276
4464,31,"M",250
4467,23,"M",826
4474,26,"F",616
4486,25,"M",528
4494,25,"M",276
4497,25,"M",276
4499,37,"M",250
4501,25,"M",124
4502,50,"M",250
4521,32,"M",250
4522,19,"M",276
4524,24,"M",703
4527,21,"M",276
4537,23,"M",276
4564,23,"M",250
4574,23,"M",250
4580,28,"M",40
4583,37,"F",528
4592,18,"M",276
4603,30,"M",250
4636,41,"M",250
4661,23,"M",788
4664,24,"M",826
4667,27,"M",276
4675,22,"M",276
4685,23,"F",276
4691,26,"M",276
4710,57,"M",724
4712,46,"M",372
4713,18,"M",250
4728,45,"M",276
4738,25,"M",276
4780,20,"M",56
4794,21,"M",724
4796,31,"F",250
4797,22,"M",250
4831,37,"M",250
4832,27,"M",276
4861,28,"M",724
4888,27,"M",203
4894,19,"M",250
4921,36,"M",788
4924,32,"M",250
4944,19,"M",276
4961,42,"M",276
4963,21,"M",826
4980,20,"M",724
4983,32,"F",40
4993,70,"F",250
5007,38,"M",442
5011,23,"M",250
5024,24,"M",276
5030,46,"M",528
5034,19,"M",276
5040,22,"M",203
5074,19,"M",276
5101,22,"M",818
5107,25,"M",643
5110,21,"F",703
5113,27,"M",124
5165,29,"M",56
5173,32,"M",756
5178,19,"M",724
5200,18,"M",703
5210,26,"M",826
5212,18,"M",250
5213,22,"M",276
5223,25,"F",250
5224,36,"M",724
5246,30,"M",250
5274,43,"F",276
5277,25,"M",276
5285,33,"M",724
5287,53,"M",276
5288,31,"M",826
5316,22,"M",250
5319,25,"M",40
5332,30,"M",276
5333,60,"M",250
5339,32,"M",276
5354,59,"M",276
5361,28,"M",826
5375,26,"F",276
5381,36,"F",250
5388,27,"F",724
5391,23,"M",276
5403,20,"F",250
5404,29,"M",203
5437,30,"M",724
5443,25,"M",756
5444,26,"M",724
5454,28,"M",417
5491,26,"M",276
5506,33,"M",250
5509,23,"M",276
5511,72,"M",56
5530,37,"F",250
5537,27,"M",703
5551,20,"M",348
5559,20,"M",70
5578,36,"M",40
5587,37,"M",250
5625,26,"F",250
5630,45,"M",276
5639,36,"M",484
5671,27,"M",756
5690,30,"M",276
5701,20,"M",203
5703,21,"M",276
5713,32,"M",276
5725,30,"M",360
5735,21,"M",276
5738,34,"M",826
5754,61,"M",250
5756,19,"F",250
5767,29,"F",250
5771,27,"M",250
5778,21,"M",724
5813,24,"M",528
5886,38,"M",250
5906,34,"F",724
5918,18,"M",203
5925,33,"M",276
5927,28,"M",276
5939,27,"M",703
5947,25,"M",458
5950,19,"M",203
5960,44,"M",276
6003,26,"M",250
6012,29,"M",250
6016,43,"F",250
6037,43,"M",250
6039,23,"M",40
6062,39,"M",616
6078,33,"M",276
6098,20,"M",788
6107,26,"M",348
6109,21,"M",724
6117,24,"M",276
6136,23,"M",250
6139,23,"M",250
6146,20,"M",276
6149,20,"M",203
6159,34,"M",756
6178,20,"M",826
6182,29,"M",276
6196,25,"M",724
6198,55,"M",250
6201,26,"M",40
6213,36,"M",56
6216,30,"M",276
6218,26,"M",56
6237,44,"F",250
6242,18,"M",756
6269,41,"M",826
6285,23,"M",276
6290,29,"M",788
6293,26,"M",250
6298,27,"M",826
6299,29,"M",724
6305,23,"M",250
6308,25,"M",276
6343,23,"M",276
6378,32,"M",250
6379,29,"M",250
6394,29,"M",250
6402,29,"M",250
6415,19,"M",276
6420,27,"M",124
6434,32,"M",276
6439,19,"M",40
6440,23,"M",203
6478,33,"M",276
6484,24,"F",56
6490,35,"M",250
6517,22,"M",276
6533,37,"M",724
6534,24,"M",528
6541,22,"M",348
6557,27,"M",276
6571,18,"M",276
6582,22,"M",756
6619,24,"M",643
6623,28,"M",250
6629,29,"M",276
6638,20,"M",442
6661,20,"M",442
6668,26,"M",276
6719,28,"M",276
6736,25,"M",124
6761,24,"M",788
6778,24,"M",276
6797,30,"M",348
6806,25,"M",276
6812,23,"M",250
6869,35,"F",826
6874,52,"M",276
6882,33,"M",703
6883,20,"M",826
6896,22,"M",203
6902,20,"M",56
6903,27,"M",276
6906,30,"M",276
6912,26,"M",788
6918,18,"F",348
6926,27,"M",250
6928,30,"M",250
6942,20,"M",616
6946,23,"M",276
6950,19,"M",724
6962,22,"M",724
6984,28,"M",724
6994,31,"M",250
7025,30,"M",276
7028,49,"M",40
7040,33,"M",250
7045,30,"M",616
7065,25,"M",250
7066,52,"M",250
7077,18,"M",528
7096,25,"M",826
7105,43,"M",724
7116,28,"M",40
7164,26,"M",826
7170,25,"M",250
7175,25,"M",276
7192,28,"M",756
7196,24,"M",276
7202,18,"M",250
7214,20,"F",276
7231,19,"M",276
7237,28,"M",250
7254,18,"M",756
7259,21,"M",348
7271,34,"M",276
7287,22,"M",276
7293,22,"M",276
7296,27,"M",276
7334,21,"M",276
7345,20,"M",528
7349,29,"M",56
7351,31,"F",250
7367,24,"F",276
7424,27,"M",31
7439,65,"F",40
7442,24,"M",348
7456,27,"M",56
7472,36,"M",40
7480,21,"M",276
7491,20,"M",276
7514,18,"M",348
7516,29,"M",250
7536,30,"F",250
7571,28,"M",250
7581,23,"M",250
7604,25,"M",203
7609,47,"M",724
7617,30,"M",276
7643,30,"M",250
7651,19,"M",348
7692,20,"F",40
7708,27,"M",276
7710,29,"M",276
7712,22,"M",250
7714,19,"M",276
7718,50,"M",724
7771,27,"M",616
7801,33,"M",724
7804,52,"M",276
7829,25,"M",348
7840,18,"M",203
7857,24,"M",203
7866,27,"M",276
7921,18,"M",276
7936,44,"M",250
7939,41,"F",250
7955,27,"M",56
7958,18,"M",56
7960,25,"M",56
7961,27,"M",56
8003,19,"M",276
8037,20,"M",276
8073,24,"M",250
8074,18,"M",250
8077,29,"M",250
8079,20,"M",250
8089,39,"F",724
8100,24,"M",724
8116,37,"M",724
8120,25,"M",724
8143,25,"M",250
8148,28,"M",348
8160,29,"M",826
8170,41,"M",250
8173,42,"M",724
8177,28,"M",442
8197,20,"M",276
8198,30,"M",826
8209,19,"M",724
8221,29,"M",203
8239,37,"M",276
8241,19,"M",203
8247,29,"M",442
8262,30,"M",250
8289,24,"M",250
8305,25,"M",56
8314,27,"M",276
8317,43,"M",276
8320,22,"M",348
8328,20,"M",724
8357,18,"M",203
8369,25,"M",276
8376,33,"M",348
8385,19,"M",276
8403,19,"M",250
8420,62,"M",250
8441,24,"F",56
8442,25,"M",40
8444,24,"F",724
8450,31,"M",250
8487,25,"M",276
8494,21,"F",616
8495,26,"M",724
8502,36,"M",203
8509,20,"M",276
8531,29,"M",826
8541,23,"M",276
8563,23,"M",203
8570,18,"M",276
8574,28,"M",528
8598,23,"M",56
8621,21,"M",348
8629,20,"M",724
8671,22,"M",250
8684,18,"M",250
8691,22,"M",724
8692,48,"M",250
8693,31,"M",528
8702,25,"M",56
8710,35,"M",250
8711,29,"M",276
8717,30,"M",250
8733,18,"M",616
8749,48,"M",756
8762,32,"M",250
8770,22,"M",703
8772,19,"M",203
8774,22,"M",203
8780,34,"M",70
8795,31,"M",276
8811,31,"M",250
8825,55,"M",276
8871,19,"M",56
8875,24,"M",756
8884,21,"M",276
8886,28,"M",40
8894,22,"M",276
8918,21,"M",703
8940,30,"M",276
8943,27,"M",276
8956,28,"M",276
8963,19,"M",528
8968,28,"M",250
8977,24,"M",756
8983,26,"M",276
9000,49,"M",276
9027,31,"M",276
9037,40,"M",250
9038,51,"M",250
9055,26,"F",250
9078,21,"M",250
9086,27,"M",724
9087,20,"M",250
9091,26,"M",250
9093,26,"M",752
9094,63,"M",250
9113,44,"F",276
9150,19,"M",348
9155,20,"M",276
9161,21,"M",643
9163,23,"M",203
9171,18,"M",703
9189,18,"M",276
9193,23,"M",276
9223,26,"M",250
9242,24,"M",724
9243,28,"M",250
9245,20,"M",250
9280,34,"M",250
9290,19,"M",480
9299,26,"M",348
9300,24,"F",56
9316,18,"M",40
9317,51,"M",NA
9324,21,"M",250
9340,24,"M",250
9351,22,"M",250
9382,25,"M",276
9388,29,"M",40
9400,19,"M",276
9407,36,"M",250
9409,35,"M",250
9410,24,"M",40
9411,18,"M",203
9421,31,"M",276
9424,38,"M",756
9427,23,"F",250
9431,30,"M",250
9446,23,"M",203
9459,25,"M",250
9464,24,"M",276
9467,23,"M",276
9475,18,"M",756
9481,28,"M",276
9482,54,"M",40
9500,31,"M",250
9509,21,"F",348
9518,50,"M",56
9520,22,"M",348
9522,23,"M",250
9529,21,"M",756
9569,18,"M",276
9593,32,"M",250
9610,39,"M",276
9623,32,"M",250
9624,31,"M",348
9642,30,"M",40
9649,33,"M",276
9655,26,"M",276
9658,21,"M",250
9672,20,"M",724
9685,22,"M",724
9703,39,"M",276
9717,20,"M",276
9726,33,"M",56
9756,21,"M",250
9765,24,"M",276
9808,25,"F",276
9815,25,"M",250
9827,28,"M",756
9843,25,"M",276
9850,25,"M",250
9860,31,"M",250
9863,21,"M",276
9873,34,"M",40
9896,27,"M",276
9911,18,"M",276
9915,20,"M",276
9922,34,"M",276
9937,31,"M",276
9950,23,"M",724
9961,27,"M",826
9962,20,"M",70
9969,23,"M",724
9970,25,"M",250
9977,33,"M",250
9982,34,"M",250
9992,31,"M",56
9993,47,"F",372
10009,22,"M",442
10014,36,"M",276
10018,38,"M",826
10035,31,"M",276
10052,21,"M",56
10055,31,"M",250
10064,36,"M",756
10065,22,"M",703
10083,39,"M",56
10103,24,"M",724
10107,24,"M",724
10109,28,"M",250
10113,22,"M",703
10140,21,"M",203
10169,21,"M",784
10175,24,"M",250
10178,29,"M",616
10192,32,"M",250
10211,32,"M",250
10227,34,"M",56
10230,32,"M",56
10257,27,"M",40
10274,23,"F",250
10286,32,"M",724
10303,20,"M",756
10311,25,"M",276
10315,46,"F",276
10316,22,"M",40
10343,19,"M",276
10344,24,"M",470
10358,31,"M",528
10371,26,"M",752
10385,24,"M",12
10406,29,"M",643
10412,25,"M",276
10424,35,"M",276
10427,31,"M",578
10435,40,"M",703
10442,23,"M",250
10449,24,"M",250
10452,32,"M",250
10455,28,"M",250
10456,30,"M",250
10464,23,"M",250
10499,30,"M",250
10518,34,"M",56
10526,36,"M",348
10543,20,"M",756
10559,23,"M",250
10562,27,"M",276
10579,27,"M",250
10592,18,"M",348
10601,30,"M",250
10603,29,"M",616
10630,34,"M",250
10632,31,"M",56
10636,18,"M",250
10671,28,"M",250
10683,28,"M",348
10693,28,"F",250
10695,24,"F",578
10720,45,"M",124
10722,37,"F",56
10736,21,"M",276
10742,22,"M",348
10754,23,"M",756
10774,24,"M",250
10776,24,"M",56
10824,24,"M",203
10830,19,"F",276
10834,21,"M",40
10838,40,"M",56
10839,25,"M",203
10841,23,"M",250
10853,23,"M",203
10864,31,"M",528
10868,33,"M",56
10895,19,"M",276
10901,27,"M",276
10914,26,"M",724
10915,44,"M",250
10917,20,"M",250
10934,23,"M",276
10953,25,"M",348
10992,22,"M",203
10993,49,"F",276
10998,35,"M",276
11005,21,"M",348
11006,21,"M",250
11039,29,"M",756
11052,34,"F",724
11057,19,"M",250
11068,26,"F",348
11081,35,"M",643
11087,35,"M",40
11108,43,"M",348
11139,43,"F",56
11145,28,"M",348
11148,21,"M",250
11154,24,"M",40
11169,35,"M",250
11170,25,"M",250
11198,32,"M",250
11206,27,"M",203
11208,47,"M",40
11218,23,"M",756
11245,20,"F",250
11285,29,"M",348
11313,38,"F",250
11366,26,"M",250
11373,20,"M",528
11376,24,"M",826
11381,42,"M",250
11386,21,"M",276
11405,35,"M",250
11419,25,"M",276
11421,22,"M",703
11424,48,"M",276
11437,32,"M",276
11439,20,"M",826
11445,25,"M",250
11450,40,"M",56
11498,29,"M",250
11504,21,"M",348
11517,24,"M",70
11538,40,"M",724
11540,19,"M",276
11541,23,"M",348
11560,21,"M",756
11565,28,"M",348
11580,24,"M",250
11594,38,"M",250
11596,24,"M",250
11598,19,"M",528
11610,18,"M",250
11616,21,"M",250
11628,24,"M",276
11646,27,"M",250
11654,39,"M",756
11670,36,"M",826
11700,22,"M",250
11718,28,"M",276
11721,26,"M",724
11724,28,"M",276
11725,34,"M",788
11737,21,"M",724
11742,20,"M",8
11756,18,"M",276
11766,18,"M",484
11774,20,"M",724
11785,38,"M",826
11802,18,"M",276
11806,21,"M",276
11823,31,"M",250
11828,18,"M",724
11837,35,"M",752
11841,43,"M",40
11844,30,"M",250
11846,27,"M",276
11851,28,"M",250
11872,26,"M",276
11887,43,"F",752
11889,26,"M",276
11893,34,"M",40
11902,24,"M",484
11903,27,"M",276
11906,18,"M",528
11908,23,"M",70
11927,28,"M",276
11934,27,"F",124
11944,36,"M",250
11962,43,"M",250
11972,32,"M",348
11982,28,"M",724
11992,20,"M",250
12000,28,"M",40
12001,26,"M",276
12032,20,"M",276
12033,25,"M",826
12036,21,"M",348
12042,26,"M",616
12061,22,"M",250
12068,20,"M",826
12069,19,"M",703
12074,26,"M",643
12077,39,"M",276
12080,31,"M",788
12086,22,"M",31
12096,24,"M",484
12098,24,"M",372
12110,37,"M",528
12117,38,"M",250
12124,26,"M",56
12128,21,"M",528
12129,34,"F",276
12142,20,"M",643
12148,20,"M",276
12149,22,"M",56
12155,19,"M",528
12159,51,"M",826
12166,34,"M",826
12198,18,"M",40
12200,23,"M",31
12201,28,"M",56
12210,25,"M",826
12213,22,"F",348
12230,24,"M",250
12274,25,"M",752
12280,30,"M",724
12297,22,"M",276
12298,22,"M",756
12308,35,"M",250
12310,26,"M",643
12316,47,"M",276
12318,39,"M",250
12319,21,"M",348
12339,20,"F",250
12340,23,"M",528
12352,19,"M",276
12357,26,"M",276
12364,27,"M",276
12390,23,"M",348
12404,32,"M",56
12407,34,"M",250
12412,19,"M",826
12422,23,"M",276
12464,49,"M",56
12472,26,"M",203
12492,24,"M",250
12495,28,"M",643
12501,20,"F",250
12502,23,"M",40
12505,36,"M",276
12508,32,"M",203
12513,31,"F",724
12553,28,"M",826
12560,27,"M",250
12562,22,"F",203
12571,35,"M",276
12584,36,"M",276
12598,24,"M",250
12606,21,"M",348
12615,29,"M",348
12620,44,"M",276
12634,28,"M",276
12651,30,"M",756
12654,25,"F",250
12665,23,"M",352
12681,25,"F",250
12688,32,"M",826
12694,28,"M",752
12703,29,"M",250
12707,32,"M",276
12711,20,"M",788
12716,18,"F",756
12720,21,"M",40
12723,23,"M",250
12732,26,"M",250
12743,24,"M",250
12745,27,"M",250
12750,31,"M",276
12763,22,"M",276
12774,38,"M",826
12793,49,"F",276
12814,25,"M",276
12823,38,"M",250
12837,26,"M",276
12862,29,"M",276
12885,29,"M",276
12896,23,"M",276
12903,34,"M",826
12922,29,"M",826
12933,32,"M",250
12935,25,"M",250
12937,60,"M",250
12938,30,"M",276
12949,40,"M",40
12956,33,"M",442
12960,23,"M",276
12962,21,"M",276
12967,30,"M",616
12972,28,"F",276
12973,27,"M",276
13002,24,"M",756
13010,18,"M",250
13016,27,"F",203
13017,21,"M",276
13036,32,"M",250
13037,19,"M",528
13049,20,"F",703
13061,25,"M",250
13074,24,"M",250
13097,27,"M",826
13114,22,"M",276
13128,26,"M",56
13134,36,"M",250
13202,24,"M",724
13208,32,"M",250
13240,33,"M",276
13252,34,"F",250
13267,23,"M",276
13270,18,"M",348
13309,20,"M",56
13311,24,"M",276
13322,22,"F",203
13346,23,"M",276
13369,18,"M",348
13397,46,"M",250
13398,32,"M",528
13415,22,"M",276
13448,31,"M",826
13452,26,"M",250
13453,30,"M",276
13454,48,"F",250
13462,25,"M",826
13479,20,"M",724
13525,23,"M",276
13537,32,"M",250
13546,39,"M",250
13549,22,"M",724
13552,26,"F",250
13556,26,"F",276
13588,35,"F",276
13593,24,"F",276
13596,46,"M",276
13633,30,"M",276
13637,29,"M",276
13640,37,"M",276
13653,33,"M",703
13663,30,"M",703
13667,34,"M",756
13678,28,"M",250
13701,23,"F",276
13702,27,"M",724
13735,50,"M",250
13739,26,"F",250
13754,31,"M",276
13757,26,"M",752
13773,47,"M",276
13782,24,"M",250
13811,26,"M",528
13821,36,"M",56
13829,47,"M",250
13839,21,"M",348
13849,23,"M",788
13850,22,"M",756
13898,29,"M",276
13919,19,"M",724
13927,19,"M",724
13929,21,"M",56
13937,19,"M",250
13958,27,"M",276
13963,33,"M",756
13978,33,"M",276
13986,49,"M",250
13994,38,"M",484
13996,33,"M",56
13998,25,"M",250
14010,69,"F",250
14019,28,"M",250
14060,26,"F",616
14065,26,"M",40
14086,40,"M",203
14088,38,"M",250
14108,31,"M",484
14116,45,"M",752
14117,29,"M",40
14131,28,"M",40
14160,28,"M",276
14165,28,"M",276
14180,32,"M",8
14205,29,"M",826
14226,23,"M",348
14249,32,"M",250
14256,22,"M",250
14260,35,"M",250
14266,26,"M",250
14342,24,"M",31
14349,28,"M",276
14376,23,"F",276
14395,36,"M",276
14437,24,"M",276
14441,37,"M",276
14452,34,"M",250
14462,31,"M",788
14465,28,"M",528
14468,21,"M",250
14482,28,"F",788
14484,31,"M",276
14503,24,"M",528
14529,20,"F",203
14536,39,"M",56
14537,31,"M",724
14548,41,"F",724
14569,28,"M",276
14604,35,"M",250
14626,34,"M",56
14628,26,"M",56
14634,25,"M",276
14666,23,"M",276
14669,22,"M",250
14670,30,"M",250
14672,26,"M",250
14688,26,"F",250
14705,25,"M",826
14711,34,"M",250
14714,35,"M",756
14730,23,"M",250
14735,22,"M",616
14744,39,"M",250
14756,23,"M",56
14759,52,"M",250
14781,26,"M",250
14794,36,"M",276
14799,27,"M",795
14836,29,"M",826
14838,53,"M",40
14846,21,"M",276
14876,24,"M",756
14899,33,"M",250
14915,29,"M",250
14932,32,"M",250
14944,27,"M",250
14949,25,"M",250
14992,25,"M",250
15016,28,"M",724
15038,40,"M",250
15057,39,"M",56
15081,25,"M",276
15084,27,"M",250
15086,26,"M",724
15093,25,"M",250
15095,31,"M",756
15099,19,"M",724
15121,28,"M",276
15131,26,"M",250
15149,24,"M",250
15168,25,"F",276
15188,26,"M",40
15222,22,"F",276
15239,29,"M",276
15255,29,"M",724
15257,18,"M",788
15286,19,"M",250
15296,18,"M",250
15300,25,"M",50
15325,28,"M",250
15328,35,"M",276
15352,24,"M",616
15363,22,"M",528
15367,24,"F",56
15416,41,"M",276
15423,30,"M",528
15436,29,"M",826
15453,26,"M",276
15468,18,"M",724
15510,31,"F",40
15516,34,"M",756
15527,29,"M",724
15528,18,"M",724
15570,27,"M",250
15573,31,"M",276
15592,24,"M",724
15625,26,"M",276
15635,25,"M",250
15652,19,"M",250
15719,22,"M",724
15721,24,"M",528
15726,33,"M",250
15730,28,"M",NA
15735,30,"M",276
15740,60,"F",124
